Tickers;Segmentos
MLAS3;NOVO MERCADO
MMAQ3;BOLSA
MMAQ4;BOLSA
MMBR3;BOLSA
MMBR4;BOLSA
MMCA3;BOLSA
MMCA4;BOLSA
MMCF3;BOLSA
MMCF4;BOLSA
MNBI3;BOLSA
MNDL3;BOLSA
MNPR3;BOLSA
MNZC3;BOLSA
MOAR3;BOLSA
MOVI3;NOVO MERCADO
MPBH11;BOLSA
MRFG3;NOVO MERCADO
MRSA3B;MERCADO DE BALCÃO
MRSA5B;MERCADO DE BALCÃO
MRSA6B;MERCADO DE BALCÃO
MRVE3;NOVO MERCADO
MSPA3;BOLSA
MSPA4;BOLSA
MTAL3;BOLSA
MTAL6;BOLSA
MTNR5;BOLSA
MTNR7;BOLSA
MTRE3;NOVO MERCADO
MTSA3;BOLSA
MTSA4;BOLSA
MULT3;NIVEL 2
MWET3;BOLSA
MWET4;BOLSA
MWIS6;BOLSA
MYPK3;NOVO MERCADO
NAII3;BOLSA
NAII4;BOLSA
NEMO3;BOLSA
NEMO5;BOLSA
NEMO6;BOLSA
NEOE3;NOVO MERCADO
NESB3;BOLSA
NEXP3;BOLSA
NGRD3;NOVO MERCADO
NIPL3;BOLSA
NKEP3;BOLSA
NKEP4;BOLSA
NODA3;BOLSA
NODA6;BOLSA
NORD3;BOLSA
NOVI3;BOLSA
NRTQ3;BOLSA
NTCO3;NOVO MERCADO
NUTR3;BOVESPA MAIS
NXVL3;BOLSA
NXVL4;BOLSA
OBAH3;MERCADO DE BALCÃO
OBIO3;BOLSA
ODER3;BOLSA
ODER4;BOLSA
ODPV3;NOVO MERCADO
OFSA3;NOVO MERCADO
OIBR3;NIVEL 1
OIBR4;NIVEL 1
ONCO3;NOVO MERCADO
OPCT3;NOVO MERCADO
OPDL3B;MERCADO DE BALCÃO
OPGM3;BOLSA
OPSE3;BOLSA
OPTS3;BOLSA
ORNA4B;MERCADO DE BALCÃO
ORVR3;NOVO MERCADO
OSXB3;NOVO MERCADO
P5RD3;BOLSA
PASS3;BOLSA
PASS5;BOLSA
PASS6;BOLSA
PATI3;BOLSA
PATI4;BOLSA
PCAR3;NOVO MERCADO
PCBU3;BOLSA
PCEM11;BOLSA
PCEM13;BOLSA
PCEM14;BOLSA
PCEM15;BOLSA
PCEM16;BOLSA
PCEM17;BOLSA
PCFV4;BOLSA
PDGR3;NOVO MERCADO
PDTC3;NOVO MERCADO
PEAB3;BOLSA
PEAB4;BOLSA
PETR3;NIVEL 2
PETR4;NIVEL 2
PETZ3;NOVO MERCADO
PFRM3;NOVO MERCADO
PGMN3;NOVO MERCADO
PINE3;NIVEL 2
PINE4;NIVEL 2
PLAS3;BOLSA
PLFS3;BOLSA
PLPL3;NOVO MERCADO
PLSP3;BOLSA
PMAM3;NOVO MERCADO
PMSP11B;MERCADO DE BALCÃO
PMSP12B;MERCADO DE BALCÃO
PMSP13B;MERCADO DE BALCÃO
PMSP14B;MERCADO DE BALCÃO
PNVL3;NOVO MERCADO
POMO3;NIVEL 2
POMO4;NIVEL 2
PORT3;NOVO MERCADO
POSI3;NOVO MERCADO
PPAR3;BOLSA
PPAR4;BOLSA
PRIO3;NOVO MERCADO
PRMN3B;MERCADO DE BALCÃO
PRNR3;NOVO MERCADO
PRPT3;BOLSA
PRVA3;BOLSA
PSSA3;NOVO MERCADO
PSVM11;BOLSA
PTBL3;NOVO MERCADO
PTBP4;BOLSA
PTCA3;M2
PTNT3;BOLSA
PTNT4;BOLSA
PTSL3;BOLSA
PTSL4;BOLSA
QUAL3;NOVO MERCADO
QUSW3;BOVESPA MAIS
QVQP3;BOLSA
RADL3;NOVO MERCADO
RAIL3;NOVO MERCADO
RAIZ3;NIVEL 2
RAIZ4;NIVEL 2
RANI3;NOVO MERCADO
RAPT3;NIVEL 1
RAPT4;NIVEL 1
RBNS3;BOLSA
RBNS4;BOLSA
RCSL3;BOLSA
RCSL4;BOLSA
RDNI3;NOVO MERCADO
RDOR3;NOVO MERCADO
REAG3;NOVO MERCADO
RECV3;NOVO MERCADO
REDE3;BOLSA
REFC4;BOLSA
RENT3;NOVO MERCADO
RFAG3;BOLSA
RHED4;BOLSA
RHPY3;BOLSA
RIBC8;BOLSA
RIOS3;BOLSA
RIVA3;BOLSA
RJSA3;BOLSA
RLTM11;BOLSA
RNEW3;NIVEL 2
RNEW4;NIVEL 2
RNPT4;BOLSA
ROMI3;NOVO MERCADO
ROOS12;BOLSA
RPAD3;BOLSA
RPAD5;BOLSA
RPAD6;BOLSA
RPMG3;BOLSA
RSAN3;MERCADO DE BALCÃO
RSAN4;MERCADO DE BALCÃO
RSID3;NOVO MERCADO
RSUL3;BOLSA
RSUL4;BOLSA
SANB3;BOLSA
SANB4;BOLSA
SANY6;BOLSA
SAPR3;NIVEL 2
SAPR4;NIVEL 2
SBFG3;NOVO MERCADO
SBSP3;NOVO MERCADO
SCAR3;NOVO MERCADO
SDRM3;BOLSA
SDRM6;BOLSA
SEER3;NOVO MERCADO
SEQL3;NOVO MERCADO
SGPS3;NOVO MERCADO
SHOW3;NOVO MERCADO
SHUL3;BOLSA
SHUL4;BOLSA
SILO3;BOLSA
SILO4;BOLSA
SIMH3;NOVO MERCADO
SLCE3;NOVO MERCADO
SMFT3;NOVO MERCADO
SMTO3;NOVO MERCADO
SNSY3;BOLSA
SNSY5;BOLSA
SNSY6;BOLSA
SOJA3;NOVO MERCADO
SOND3;BOLSA
SOND5;BOLSA
SOND6;BOLSA
SPCI6;BOLSA
SPCR3;BOLSA
SRNA3;NOVO MERCADO
STAL6;BOLSA
STBP3;NOVO MERCADO
STOK3;MERCADO DE BALCÃO
SULG3;BOLSA
SUZB3;NOVO MERCADO
SVPH7;BOLSA
SYNE3;NOVO MERCADO
TAEE3;NIVEL 2
TAEE4;NIVEL 2
TASA3;NIVEL 2
TASA4;NIVEL 2
TAXA0L;BOLSA
TAXA100;BOLSA
TAXA101;BOLSA
TAXA102;BOLSA
TAXA103;BOLSA
TAXA104;BOLSA
TAXA105;BOLSA
TAXA106;BOLSA
TAXA107;BOLSA
TAXA108;BOLSA
TAXA109;BOLSA
TAXA110;BOLSA
TAXA111;BOLSA
TAXA112;BOLSA
TAXA113;BOLSA
TAXA114;BOLSA
TAXA115;BOLSA
TAXA116;BOLSA
TAXA117;BOLSA
TAXA118;BOLSA
TAXA119;BOLSA
TAXA120;BOLSA
TAXA121;BOLSA
TAXA122;BOLSA
TAXA123;BOLSA
TAXA124;BOLSA
TAXA125;BOLSA
TAXA126;BOLSA
TAXA127;BOLSA
TAXA128;BOLSA
TAXA129;BOLSA
TAXA130;BOLSA
TAXA131;BOLSA
TAXA132;BOLSA
TAXA133;BOLSA
TAXA134;BOLSA
TAXA135;BOLSA
TAXA136;BOLSA
TAXA137;BOLSA
TAXA138;BOLSA
TAXA139;BOLSA
TAXA140;BOLSA
TAXA141;BOLSA
TAXA142;BOLSA
TAXA143;BOLSA
TAXA144;BOLSA
TAXA145;BOLSA
TAXA146;BOLSA
TAXA147;BOLSA
TAXA148;BOLSA
TAXA149;BOLSA
TAXA150;BOLSA
TAXA151;BOLSA
TAXA152;BOLSA
TAXA153;BOLSA
TAXA154;BOLSA
TAXA155;BOLSA
TAXA156;BOLSA
TAXA157;BOLSA
TAXA158;BOLSA
TAXA159;BOLSA
TAXA16;BOLSA
TAXA160;BOLSA
TAXA161;BOLSA
TAXA162;BOLSA
TAXA163;BOLSA
TAXA164;BOLSA
TAXA165;BOLSA
TAXA166;BOLSA
TAXA167;BOLSA
TAXA168;BOLSA
TAXA169;BOLSA
TAXA16L;BOLSA
TAXA17;BOLSA
TAXA170;BOLSA
TAXA171;BOLSA
TAXA172;BOLSA
TAXA173;BOLSA
TAXA174;BOLSA
TAXA175;BOLSA
TAXA176;BOLSA
TAXA177;BOLSA
TAXA178;BOLSA
TAXA179;BOLSA
TAXA17L;BOLSA
TAXA18;BOLSA
TAXA180;BOLSA
TAXA181;BOLSA
TAXA182;BOLSA
TAXA183;BOLSA
TAXA184;BOLSA
TAXA185;BOLSA
TAXA186;BOLSA
TAXA187;BOLSA
TAXA188;BOLSA
TAXA189;BOLSA
TAXA18L;BOLSA
TAXA19;BOLSA
TAXA190;BOLSA
TAXA191;BOLSA
TAXA192;BOLSA
TAXA193;BOLSA
TAXA194;BOLSA
TAXA195;BOLSA
TAXA196;BOLSA
TAXA197;BOLSA
TAXA198;BOLSA
TAXA199;BOLSA
TAXA19L;BOLSA
TAXA20;BOLSA
TAXA200;BOLSA
TAXA201;BOLSA
TAXA202;BOLSA
TAXA203;BOLSA
TAXA204;BOLSA
TAXA205;BOLSA
TAXA206;BOLSA
TAXA207;BOLSA
TAXA208;BOLSA
TAXA209;BOLSA
TAXA20L;BOLSA
TAXA21;BOLSA
TAXA210;BOLSA
TAXA211;BOLSA
TAXA212;BOLSA
TAXA213;BOLSA
TAXA214;BOLSA
TAXA215;BOLSA
TAXA216;BOLSA
TAXA217;BOLSA
TAXA218;BOLSA
TAXA219;BOLSA
TAXA21L;BOLSA
TAXA22;BOLSA
TAXA220;BOLSA
TAXA221;BOLSA
TAXA222;BOLSA
TAXA223;BOLSA
TAXA224;BOLSA
TAXA225;BOLSA
TAXA226;BOLSA
TAXA227;BOLSA
TAXA228;BOLSA
TAXA229;BOLSA
TAXA22L;BOLSA
TAXA23;BOLSA
TAXA230;BOLSA
TAXA231;BOLSA
TAXA232;BOLSA
TAXA233;BOLSA
TAXA234;BOLSA
TAXA235;BOLSA
TAXA236;BOLSA
TAXA237;BOLSA
TAXA238;BOLSA
TAXA239;BOLSA
TAXA23L;BOLSA
TAXA24;BOLSA
TAXA240;BOLSA
TAXA241;BOLSA
TAXA242;BOLSA
TAXA243;BOLSA
TAXA244;BOLSA
TAXA245;BOLSA
TAXA246;BOLSA
TAXA247;BOLSA
TAXA248;BOLSA
TAXA249;BOLSA
TAXA24L;BOLSA
TAXA25;BOLSA
TAXA250;BOLSA
TAXA251;BOLSA
TAXA252;BOLSA
TAXA253;BOLSA
TAXA254;BOLSA
TAXA255;BOLSA
TAXA256;BOLSA
TAXA257;BOLSA
TAXA258;BOLSA
TAXA259;BOLSA
TAXA25L;BOLSA
TAXA26;BOLSA
TAXA260;BOLSA
TAXA261;BOLSA
TAXA262;BOLSA
TAXA263;BOLSA
TAXA264;BOLSA
TAXA265;BOLSA
TAXA266;BOLSA
TAXA267;BOLSA
TAXA268;BOLSA
TAXA269;BOLSA
TAXA26L;BOLSA
TAXA27;BOLSA
TAXA270;BOLSA
TAXA271;BOLSA
TAXA272;BOLSA
TAXA273;BOLSA
TAXA274;BOLSA
TAXA275;BOLSA
TAXA276;BOLSA
TAXA277;BOLSA
TAXA278;BOLSA
TAXA279;BOLSA
TAXA27L;BOLSA
TAXA28;BOLSA
TAXA280;BOLSA
TAXA281;BOLSA
TAXA282;BOLSA
TAXA283;BOLSA
TAXA284;BOLSA
TAXA285;BOLSA
TAXA286;BOLSA
TAXA287;BOLSA
TAXA288;BOLSA
TAXA289;BOLSA
TAXA28L;BOLSA
TAXA29;BOLSA
TAXA290;BOLSA
TAXA291;BOLSA
TAXA292;BOLSA
TAXA293;BOLSA
TAXA294;BOLSA
TAXA295;BOLSA
TAXA296;BOLSA
TAXA297;BOLSA
TAXA298;BOLSA
TAXA299;BOLSA
TAXA29L;BOLSA
TAXA30;BOLSA
TAXA300;BOLSA
TAXA301;BOLSA
TAXA302;BOLSA
TAXA303;BOLSA
TAXA304;BOLSA
TAXA305;BOLSA
TAXA306;BOLSA
TAXA307;BOLSA
TAXA308;BOLSA
TAXA309;BOLSA
TAXA30L;BOLSA
TAXA31;BOLSA
TAXA310;BOLSA
TAXA311;BOLSA
TAXA312;BOLSA
TAXA313;BOLSA
TAXA314;BOLSA
TAXA315;BOLSA
TAXA316;BOLSA
TAXA317;BOLSA
TAXA318;BOLSA
TAXA319;BOLSA
TAXA31L;BOLSA
TAXA32;BOLSA
TAXA320;BOLSA
TAXA321;BOLSA
TAXA322;BOLSA
TAXA323;BOLSA
TAXA324;BOLSA
TAXA325;BOLSA
TAXA326;BOLSA
TAXA327;BOLSA
TAXA328;BOLSA
TAXA329;BOLSA
TAXA32L;BOLSA
TAXA33;BOLSA
TAXA330;BOLSA
TAXA331;BOLSA
TAXA332;BOLSA
TAXA333;BOLSA
TAXA334;BOLSA
TAXA335;BOLSA
TAXA336;BOLSA
TAXA337;BOLSA
TAXA338;BOLSA
TAXA339;BOLSA
TAXA33L;BOLSA
TAXA34;BOLSA
TAXA340;BOLSA
TAXA341;BOLSA
TAXA342;BOLSA
TAXA343;BOLSA
TAXA344;BOLSA
TAXA345;BOLSA
TAXA346;BOLSA
TAXA347;BOLSA
TAXA348;BOLSA
TAXA349;BOLSA
TAXA34L;BOLSA
TAXA35;BOLSA
TAXA350;BOLSA
TAXA351;BOLSA
TAXA352;BOLSA
TAXA353;BOLSA
TAXA354;BOLSA
TAXA355;BOLSA
TAXA356;BOLSA
